"Checked"	"Protein FDR Confidence"	"Master"	"Accession"	"Description"	"Exp. q-value"	"Sum PEP Score"	"Coverage"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# Protein Groups"	"# AAs"	"MW [kDa]"	"calc. pI"	"Score Sequest HT"	"# Peptides Sequest HT"
"False"	"High"	"IsMasterProtein"	"Q9BY77"	"Polymerase delta-interacting protein 3 OS=Homo sapiens GN=POLDIP3 PE=1 SV=2"	"0.000"	"90.240"	"38.479809976247"	"13"	"30"	"13"	"1"	"421"	"46.1"	"9.99"	"60.38"	"13"
"False"	"High"	"IsMasterProtein"	"Q14980"	"Nuclear mitotic apparatus protein 1 OS=Homo sapiens GN=NUMA1 PE=1 SV=2"	"0.000"	"70.079"	"11.3475177304965"	"22"	"26"	"22"	"1"	"2115"	"238.1"	"5.78"	"47.89"	"22"
"False"	"High"	"IsMasterProtein"	"P62829"	"60S ribosomal protein L23 OS=Homo sapiens GN=RPL23 PE=1 SV=1"	"0.000"	"62.778"	"20.7142857142857"	"5"	"22"	"5"	"1"	"140"	"14.9"	"10.51"	"55.90"	"5"
"False"	"High"	"IsMasterProtein"	"E7EVA0"	"Microtubule-associated protein OS=Homo sapiens GN=MAP4 PE=1 SV=1"	"0.000"	"52.267"	"8.22812363952982"	"13"	"24"	"13"	"1"	"2297"	"245.3"	"6.23"	"45.97"	"13"
"False"	"High"	"IsMasterProtein"	"P04264"	"Keratin, type II cytoskeletal 1 OS=Homo sapiens GN=KRT1 PE=1 SV=6"	"0.000"	"43.458"	"20.8074534161491"	"15"	"22"	"12"	"1"	"644"	"66.0"	"8.12"	"36.36"	"15"
"False"	"High"	"IsMasterProtein"	"P13645"	"Keratin, type I cytoskeletal 10 OS=Homo sapiens GN=KRT10 PE=1 SV=6"	"0.000"	"40.705"	"15.2397260273973"	"10"	"14"	"7"	"1"	"584"	"58.8"	"5.21"	"32.70"	"10"
"False"	"High"	"IsMasterProtein"	"P60709"	"Actin, cytoplasmic 1 OS=Homo sapiens GN=ACTB PE=1 SV=1"	"0.000"	"31.776"	"36.5333333333333"	"10"	"13"	"10"	"1"	"375"	"41.7"	"5.48"	"18.49"	"10"
"False"	"High"	"IsMasterProtein"	"A0A087WZ40"	"Ensconsin OS=Homo sapiens GN=MAP7 PE=1 SV=1"	"0.000"	"31.440"	"14.6341463414634"	"9"	"10"	"8"	"1"	"779"	"87.8"	"9.77"	"21.66"	"9"
"False"	"High"	"IsMasterProtein"	"P18615"	"Negative elongation factor E OS=Homo sapiens GN=NELFE PE=1 SV=3"	"0.000"	"31.355"	"27.8947368421053"	"8"	"9"	"8"	"1"	"380"	"43.2"	"9.33"	"17.74"	"8"
"False"	"High"	"IsMasterProtein"	"Q8WX92"	"Negative elongation factor B OS=Homo sapiens GN=NELFB PE=1 SV=1"	"0.000"	"29.668"	"12.5862068965517"	"8"	"9"	"8"	"1"	"580"	"65.7"	"6.13"	"21.52"	"8"
"False"	"High"	"IsMasterProtein"	"P42677"	"40S ribosomal protein S27 OS=Homo sapiens GN=RPS27 PE=1 SV=3"	"0.000"	"28.611"	"30.952380952381"	"4"	"10"	"3"	"1"	"84"	"9.5"	"9.45"	"21.65"	"4"
"False"	"High"	"IsMasterProtein"	"Q7KZI7"	"Serine/threonine-protein kinase MARK2 OS=Homo sapiens GN=MARK2 PE=1 SV=2"	"0.000"	"28.571"	"11.6751269035533"	"5"	"6"	"5"	"1"	"788"	"87.9"	"9.72"	"12.78"	"5"
"False"	"High"	"IsMasterProtein"	"P63173"	"60S ribosomal protein L38 OS=Homo sapiens GN=RPL38 PE=1 SV=2"	"0.000"	"28.239"	"52.8571428571429"	"4"	"18"	"4"	"1"	"70"	"8.2"	"10.10"	"44.14"	"4"
"False"	"High"	"IsMasterProtein"	"P35908"	"Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens GN=KRT2 PE=1 SV=2"	"0.000"	"26.869"	"14.8669796557121"	"8"	"11"	"6"	"1"	"639"	"65.4"	"8.00"	"17.04"	"8"
"False"	"High"	"IsMasterProtein"	"A0A0C4DFX9"	"Negative elongation factor A OS=Homo sapiens GN=NELFA PE=1 SV=1"	"0.000"	"22.910"	"18.5528756957328"	"6"	"10"	"6"	"1"	"539"	"58.5"	"9.26"	"27.55"	"6"
"False"	"High"	"IsMasterProtein"	"Q7Z417"	"Nuclear fragile X mental retardation-interacting protein 2 OS=Homo sapiens GN=NUFIP2 PE=1 SV=1"	"0.000"	"19.148"	"7.48201438848921"	"4"	"5"	"4"	"1"	"695"	"76.1"	"8.70"	"9.44"	"4"
"False"	"High"	"IsMasterProtein"	"Q9H2P0"	"Activity-dependent neuroprotector homeobox protein OS=Homo sapiens GN=ADNP PE=1 SV=1"	"0.000"	"19.122"	"7.16878402903811"	"7"	"9"	"7"	"1"	"1102"	"123.5"	"7.34"	"11.57"	"7"
"False"	"High"	"IsMasterProtein"	"H0YMV8"	"40S ribosomal protein S27 OS=Homo sapiens GN=RPS27L PE=1 SV=1"	"0.000"	"18.864"	"26"	"2"	"4"	"1"	"1"	"100"	"11.3"	"9.32"	"8.54"	"2"
